Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
France,%,false,5.19,-2.93,-3.85,-1.22,1.89,3.97,-2.03,3.33,-2.10,-0.60,-7.56,-1.70,1.11,-0.54,0.15,-2.33,-1.66,-1.47,-4.37,0.93,-2.94,0.73,0.22,-8.36,1.65,-0.27,0.66
Nigeria,%,false,4.08,4.68,-0.04,-0.49,-2.00,4.06,-3.38,-3.05,-3.45,-1.07,0.55,1.81,3.03,1.39,6.42,-1.81,-0.70,1.07,-6.58,8.61,6.44,1.46,4.77,3.04,-1.38,2.29,2.04
Poland,%,false,-0.98,-2.54,-0.12,-1.13,-0.13,3.58,-2.42,-7.23,-2.80,-3.61,-16.19,-2.60,4.05,1.40,0.52,4.45,0.00,-1.94,-4.98,5.94,12.60,-1.93,-1.51,-3.76,1.16,1.52,3.73
Egypt,%,false,4.36,3.78,1.62,-3.03,6.50,5.04,6.10,4.16,5.17,0.72,6.98,2.52,2.16,6.51,8.33,4.54,6.17,3.51,2.26,0.54,2.83,3.80,-0.93,2.07,3.04,2.83,1.45
Spain,%,false,2.66,4.12,-5.95,5.53,5.63,-2.51,8.48,3.45,8.68,5.61,6.49,4.80,2.49,4.31,3.78,-1.51,4.07,-8.00,-9.63,-4.40,3.23,-1.84,-7.79,-0.49,3.44,-4.94,5.42
Venezuela,%,false,0.55,1.22,1.91,0.82,2.50,4.13,1.92,0.05,-1.50,2.67,-15.04,2.06,-1.96,0.76,4.63,-2.26,1.38,3.56,0.21,0.90,5.61,5.33,1.32,0.37,-3.66,-20.73,-4.80
Kazakhstan,%,false,3.25,0.26,-13.04,-9.00,-12.55,-12.70,-14.42,-0.43,-9.83,-0.52,-0.18,11.60,6.81,9.72,6.46,10.43,3.57,19.81,-11.02,10.44,3.08,0.00,4.68,-16.58,0.50,8.84,3.34
Colombia,%,false,0.81,1.67,1.81,0.92,1.34,0.23,2.17,0.73,-4.30,1.91,-4.45,-0.45,1.01,1.07,0.89,0.57,2.55,0.39,1.72,1.84,-8.76,-0.70,3.02,1.47,0.76,13.02,-1.36
United Arab Emirates,%,false,9.39,-1.87,3.92,8.50,7.60,5.85,8.09,4.36,3.97,0.58,12.37,3.32,5.87,6.25,5.86,3.99,6.95,14.70,1.09,3.22,2.90,5.56,4.88,1.01,5.35,2.69,3.92
Ukraine,%,false,-5.22,-11.13,-12.10,-14.73,-5.54,-11.86,-5.32,-6.41,-0.91,-4.53,6.07,0.65,7.42,-7.94,-4.62,1.37,2.09,-3.50,-15.46,5.50,9.14,-3.21,-3.00,-10.15,-16.64,4.86,-9.36
